"time", "stairBouncingBall.Root.$wallTime", "stairBouncingBall.Root.stairBouncingBallwin3264.$wallTime", "stairBouncingBall.Root.stairBouncingBallwin3264.x", "stairBouncingBall.Root.stairBouncingBallwin3264.der(x)", "stairBouncingBall.Root.stairBouncingBallwin3264.y", "stairBouncingBall.Root.stairBouncingBallwin3264.der(y)", "stairBouncingBall.Root.stairBouncingBallwin3264.xs", "stairBouncingBall.Root.stairBouncingBallwin3264.der(xs)", "stairBouncingBall.Root.stairBouncingBallwin3264.ys", "stairBouncingBall.Root.stairBouncingBallwin3264.der(ys)", "stairBouncingBall.Root.stairBouncingBallwin3264.rebound", "stairBouncingBall.Root.stairBouncingBallwin3264.stair"
0.5, 0.0019943, 0.0009971, 0.818846198549, 0.475615380145, 10.3065238027, 0.986678202779, 0.475615380145, -0.0475615380145, 0.986678202779, -9.90531782028, 0, 10
0.5, 0.0019943, 0.0009971, 0.818846198549, 0.475615380145, 10.3065238027, 0.986678202779, 0.475615380145, -0.0475615380145, 0.986678202779, -9.90531782028, 0, 10
0.51, 0.0019943, 0.0009971, 0.82359997822, 0.475140002178, 10.3158961406, 0.887674468995, 0.475140002178, -0.0475140002178, 0.887674468995, -9.8954174469, 0, 10
0.51, 0.0019943, 0.0009971, 0.82359997822, 0.475140002178, 10.3158961406, 0.887674468995, 0.475140002178, -0.0475140002178, 0.887674468995, -9.8954174469, 0, 10
0.52, 0.0019943, 0.0009971, 0.828349065658, 0.474665093434, 10.3242912592, 0.788768457133, 0.474665093434, -0.0474665093434, 0.788768457133, -9.88552684571, 0, 10
0.52, 0.0019943, 0.0009971, 0.828349065658, 0.474665093434, 10.3242912592, 0.788768457133, 0.474665093434, -0.0474665093434, 0.788768457133, -9.88552684571, 0, 10
0.53, 0.0019943, 0.0009971, 0.833093523296, 0.47419064767, 10.331722161, 0.689958866951, 0.47419064767, -0.047419064767, 0.689958866951, -9.8756458867, 0, 10
0.53, 0.0019943, 0.0009971, 0.833093523296, 0.47419064767, 10.331722161, 0.689958866951, 0.47419064767, -0.047419064767, 0.689958866951, -9.8756458867, 0, 10
0.54, 0.0019943, 0.0009971, 0.837833251587, 0.473716674841, 10.3381681136, 0.591247771691, 0.473716674841, -0.0473716674841, 0.591247771691, -9.86577477717, 0, 10
0.54, 0.0019943, 0.0009971, 0.837833251587, 0.473716674841, 10.3381681136, 0.591247771691, 0.473716674841, -0.0473716674841, 0.591247771691, -9.86577477717, 0, 10
0.55, 0.0019943, 0.0009971, 0.842568250528, 0.473243174947, 10.343629117, 0.492635171351, 0.473243174947, -0.0473243174947, 0.492635171351, -9.85591351714, 0, 10
0.55, 0.0019943, 0.0009971, 0.842568250528, 0.473243174947, 10.343629117, 0.492635171351, 0.473243174947, -0.0473243174947, 0.492635171351, -9.85591351714, 0, 10
0.56, 0.0019943, 0.0009971, 0.847298520122, 0.472770147988, 10.3481051712, 0.394121065932, 0.472770147988, -0.0472770147988, 0.394121065932, -9.84606210659, 0, 10
0.56, 0.0019943, 0.0009971, 0.847298520122, 0.472770147988, 10.3481051712, 0.394121065932, 0.472770147988, -0.0472770147988, 0.394121065932, -9.84606210659, 0, 10
0.57, 0.0019943, 0.0009971, 0.852024060367, 0.472297593963, 10.3515962762, 0.295705455435, 0.472297593963, -0.0472297593963, 0.295705455435, -9.83622054554, 0, 10
0.57, 0.0019943, 0.0009971, 0.852024060367, 0.472297593963, 10.3515962762, 0.295705455435, 0.472297593963, -0.0472297593963, 0.295705455435, -9.83622054554, 0, 10
0.58, 0.0019943, 0.0009971, 0.856744871263, 0.471825512874, 10.3541024319, 0.197388339859, 0.471825512874, -0.0471825512874, 0.197388339859, -9.82638883399, 0, 10
0.58, 0.0019943, 0.0009971, 0.856744871263, 0.471825512874, 10.3541024319, 0.197388339859, 0.471825512874, -0.0471825512874, 0.197388339859, -9.82638883399, 0, 10
0.59, 0.0019943, 0.0009971, 0.861460952811, 0.471353904719, 10.3556236385, 0.0991697192031, 0.471353904719, -0.0471353904719, 0.0991697192031, -9.81656697192, 0, 10
0.59, 0.0019943, 0.0009971, 0.861460952811, 0.471353904719, 10.3556236385, 0.0991697192031, 0.471353904719, -0.0471353904719, 0.0991697192031, -9.81656697192, 0, 10
0.6, 0.0019943, 0.0009971, 0.866172305011, 0.470882769499, 10.3561598958, 0.00104959346873, 0.470882769499, -0.0470882769499, 0.00104959346873, -9.80675495935, 0, 10
0.6, 0.0019943, 0.0009971, 0.866172305011, 0.470882769499, 10.3561598958, 0.00104959346873, 0.470882769499, -0.0470882769499, 0.00104959346873, -9.80675495935, 0, 10
0.61, 0.0019943, 0.0009971, 0.870878927862, 0.470412107214, 10.355711204, -0.0969720373446, 0.470412107214, -0.0470412107214, -0.0969720373446, -9.79695279627, 0, 10
0.61, 0.0019943, 0.0009971, 0.870878927862, 0.470412107214, 10.355711204, -0.0969720373446, 0.470412107214, -0.0470412107214, -0.0969720373446, -9.79695279627, 0, 10
0.62, 0.0019943, 0.0009971, 0.875580821365, 0.469941917863, 10.3542775629, -0.194895173237, 0.469941917863, -0.0469941917863, -0.194895173237, -9.78716048268, 0, 10
0.62, 0.0019943, 0.0009971, 0.875580821365, 0.469941917863, 10.3542775629, -0.194895173237, 0.469941917863, -0.0469941917863, -0.194895173237, -9.78716048268, 0, 10
0.63, 0.0019943, 0.0009971, 0.88027798552, 0.469472201448, 10.3518589726, -0.292719814208, 0.469472201448, -0.0469472201448, -0.292719814208, -9.77737801858, 0, 10
0.63, 0.0019943, 0.0009971, 0.88027798552, 0.469472201448, 10.3518589726, -0.292719814208, 0.469472201448, -0.0469472201448, -0.292719814208, -9.77737801858, 0, 10
